pick_date,code,name,market,close,alpha120,beta120,d240h,rev_accel,rank
2026-07-08,2352,佳世達科技股份有限公司,TWSE,34.4,0.306,0.695,-0.1005,-0.0368,63
2026-07-08,2838,聯邦商業銀行股份有限公司,TWSE,24.7,0.2852,0.252,0.0,0.4443,64
2026-07-08,6414,樺漢科技股份有限公司,TWSE,404.0,0.2732,0.669,0.0,,65
2026-07-08,6703,軒郁國際股份有限公司,OTC,118.0,0.2683,0.087,-0.0126,,66
2026-07-08,6263,普萊德科技股份有限公司,OTC,169.0,0.2626,0.562,-0.0632,,67
2026-07-08,1909,榮成紙業股份有限公司,TWSE,10.9,0.2588,0.062,-0.048,0.1549,68
2026-07-08,6712,長聖國際生技股份有限公司,OTC,183.0,0.2563,0.123,0.0,,69
2026-07-08,1789,台灣神隆股份有限公司,TWSE,20.9,0.2371,0.346,-0.2497,-0.3535,70
2026-07-08,5450,南良國際股份有限公司,OTC,15.35,0.2339,0.062,-0.0315,,71
2026-07-08,4147,中裕新藥股份有限公司,OTC,70.8,0.2249,0.278,-0.1927,,72
2026-07-08,2912,統一超商股份有限公司,TWSE,241.0,0.2129,0.007,-0.0731,0.0146,73
2026-07-08,4167,松瑞製藥股份有限公司,OTC,20.9,0.2125,0.24,-0.0435,,74
2026-07-08,2897,王道商業銀行股份有限公司,TWSE,10.6,0.2092,0.125,-0.0047,0.2317,75
2026-07-08,2248,華勝汽車電子股份有限公司,TWSE,58.2,0.2068,0.225,-0.0284,,76
2026-07-08,3605,宏致電子股份有限公司,TWSE,90.8,0.2064,0.721,-0.0044,,77
2026-07-08,6241,鑫永洋科技股份有限公司,OTC,15.3,0.2054,0.409,-0.0526,,78
2026-07-08,4155,訊映光電股份有限公司,TWSE,15.7,0.2051,0.041,-0.0485,,79
2026-07-08,2880,華南金融控股股份有限公司,TWSE,39.7,0.2024,0.348,0.0,0.4733,80
2026-07-08,2886,兆豐金融控股股份有限公司,TWSE,46.8,0.198,0.144,0.0,0.1091,81
2026-07-08,3332,幸康電子股份有限公司,OTC,65.6,0.181,0.277,-0.1748,,82
2026-07-08,4440,宜新實業股份有限公司,TWSE,18.05,0.1723,0.078,-0.1401,,83
2026-07-08,2949,欣新網股份有限公司,OTC,76.7,0.1717,0.23,0.0,,84
2026-07-08,4207,環泰企業股份有限公司,OTC,20.0,0.1643,0.154,0.0,,85
2026-07-08,8421,旭源包裝科技股份有限公司,OTC,14.65,0.1502,0.126,-0.0068,,86
2026-07-08,6023,元大期貨股份有限公司,OTC,106.5,0.1333,0.098,0.0,,87
2026-07-08,4961,天鈺科技股份有限公司,TWSE,175.0,0.1268,0.657,-0.0363,,88
2026-07-08,6904,伯鑫工具股份有限公司,OTC,128.0,0.1246,0.094,-0.034,,89
2026-07-08,6121,新普科技股份有限公司,OTC,444.5,0.1214,0.406,-0.0492,,90
2026-07-08,2892,第一金融控股股份有限公司,TWSE,34.1,0.1159,0.197,0.0,0.1465,91
2026-07-08,4198,欣大健康投資控股股份有限公司,OTC,41.75,0.1105,0.394,-0.0165,,92
2026-07-08,6154,順發電腦股份有限公司,OTC,13.9,0.1051,0.045,-0.0452,,93
2026-07-08,2908,特力股份有限公司,TWSE,21.7,0.1049,0.114,0.0,-0.025,94
2026-07-08,2206,三陽工業股份有限公司,TWSE,64.0,0.1026,0.05,-0.0405,-0.0352,95
2026-07-08,2834,臺灣中小企業銀行股份有限公司,TWSE,18.25,0.0902,0.212,0.0,0.1919,96
2026-07-08,8462,柏文健康事業股份有限公司,TWSE,156.0,0.0873,0.174,-0.0308,,97
2026-07-08,2740,華軒地產股份有限公司,OTC,33.2,0.0857,0.459,-0.2775,,98
2026-07-08,2820,中華票券金融股份有限公司,TWSE,17.25,0.0831,0.137,0.0,0.282,99
2026-07-08,6576,逸達生物科技股份有限公司,OTC,84.1,0.0677,0.047,-0.0367,,100
