pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-29,1618,合機電線電纜股份有限公司,TWSE,42.2,-0.6105,0.652,-0.1654,318
2026-05-29,3207,耀勝電子股份有限公司,OTC,65.1,-0.6143,0.513,-0.2213,319
2026-05-29,6680,鑫創電子股份有限公司,OTC,58.0,-0.6368,0.286,-0.2695,320
2026-05-29,2359,所羅門股份有限公司,TWSE,143.0,-0.6389,0.96,-0.1411,321
2026-05-29,5465,富驊企業股份有限公司,OTC,26.1,-0.6402,0.447,-0.4055,322
2026-05-29,1513,中興電工機械股份有限公司,TWSE,166.5,-0.6443,0.854,-0.1024,323
2026-05-29,3434,哲固資訊科技股份有限公司,OTC,29.45,-0.6464,0.47,-0.4423,324
2026-05-29,6922,宸曜科技股份有限公司,OTC,193.83,-0.6788,0.802,-0.1195,325
2026-05-29,5474,聰泰科技開發股份有限公司,OTC,175.71,-0.7006,0.798,-0.1449,326
2026-05-29,8201,無敵科技股份有限公司,TWSE,13.45,-0.7015,0.593,-0.294,327
2026-05-29,2239,開曼英利工業股份有限公司,TWSE,24.05,-0.705,0.194,-0.3769,328
2026-05-29,6757,台灣虎航股份有限公司,TWSE,56.7,-0.7178,0.389,-0.3616,329
2026-05-29,3060,銘異科技股份有限公司,TWSE,29.4,-0.7209,0.951,-0.2107,330
2026-05-29,2439,美律實業股份有限公司,TWSE,91.8,-0.7271,0.487,-0.1876,331
2026-05-29,2374,佳能企業股份有限公司,TWSE,83.2,-0.7651,0.921,-0.1238,332
2026-05-29,6732,昇佳電子股份有限公司,OTC,178.0,-0.7708,0.801,-0.2845,333
2026-05-29,6180,遊戲橘子數位科技股份有限公司,OTC,40.8,-0.7755,0.238,-0.4137,334
2026-05-29,1609,大亞電線電纜股份有限公司,TWSE,38.54,-0.7881,0.818,-0.1702,335
2026-05-29,3706,神達控股股份有限公司,TWSE,88.8,-0.7955,0.786,-0.1701,336
2026-05-29,6150,撼訊科技股份有限公司,OTC,68.5,-0.7995,0.816,-0.2619,337
2026-05-29,3323,加百裕工業股份有限公司,OTC,37.9,-0.8265,0.836,-0.328,338
2026-05-29,2442,新美齊股份有限公司,TWSE,18.65,-0.8409,0.33,-0.3666,339
2026-05-29,6125,廣運機械工程股份有限公司,OTC,66.7,-0.8677,0.927,-0.2325,340
2026-05-29,5546,永固集團股份有限公司,TWSE,16.8,-0.8821,0.273,-0.4095,341
2026-05-29,3564,其陽科技股份有限公司,OTC,47.7,-0.8947,0.896,-0.331,342
2026-05-29,1532,勤美股份有限公司,TWSE,21.0,-0.9081,0.351,-0.2553,343
2026-05-29,3047,訊舟科技股份有限公司,TWSE,15.1,-0.9149,0.658,-0.3526,344
2026-05-29,2457,飛宏科技股份有限公司,TWSE,26.0,-0.93,0.792,-0.3256,345
2026-05-29,6957,裕慶金屬股份有限公司,TWSE,167.0,-0.9623,0.412,-0.2545,346
2026-05-29,4438,廣越企業股份有限公司,TWSE,61.0,-0.9629,0.321,-0.2729,347
2026-05-29,2258,鴻華先進科技股份有限公司,TWSE,30.15,-1.3354,0.707,-0.3179,348
2026-05-29,5371,中強光電股份有限公司,OTC,72.06,-1.3559,0.813,-0.4458,349
2026-05-29,6272,驊陞科技股份有限公司,TWSE,32.39,-1.4787,0.45,-0.4406,350
